Title,Year,User Score,Description,Directors,Screenplay,Genres,Revenue
10 Lives,2024-10-10 (DE),82%,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey.",Christopher Jenkins,,"Animation, Comedy, Family, Fantasy",
Moana 2,2024-11-28 (DE),0%,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","Dana Ledoux Miller, David G. Derrick Jr., Jason Hand","Dana Ledoux Miller, Jared Bush","Animation, Adventure, Family, Comedy",
Never Let Go,2024-09-26 (DE),62%,"As an evil takes over the world beyond their front doorstep, the only protection for a mother and her twin sons is their house and their family’s protective bond.",Alexandre Aja,"Ryan Grassby, Kevin Coughlin","Horror, Drama","$13,111,608.00"
Forrest Gump,1994-10-13 (DE),85%,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Robert Zemeckis,,"Comedy, Drama, Romance","$677,387,716.00"
The Bus of Life,2024-07-03 (ES),68%,"Andrés, a music teacher diagnosed with cancer, seeks treatment at a hospital in the city. His travels there on a singular, dilapidated bus accompanied by other cancer patients. It soon becomes an extraordinary experience, giving him new friends and a far more joyous understanding of life. He also learns to conquer his fears, such as the stage fright which has frustrated a budding career as a musician.",Ibon Cormenzana,"Ibon Cormenzana, Eduard Sola","Comedy, Drama",
Wicked,2024-12-12 (DE),0%,"Elphaba, an ostracized but defiant girl born with green skin, and Glinda, a privileged aristocrat born popular, become extremely unlikely friends in the magical Land of Oz. As the two girls struggle with their opposing personalities, their friendship is tested as both begin to fulfill their destinies as Glinda the Good and The Wicked Witch of the West. The first of a two-part film adaptation of the Broadway musical.",Jon M. Chu,"Winnie Holzman, Dana Fox","Drama, Fantasy, Romance",
Beetlejuice,1988-11-10 (DE),74%,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,Tim Burton,,"Fantasy, Comedy","$84,554,197.00"
Blood for Dust,2024-04-19 (DE),58%,"Reckless Ricky makes serious money dealing illegal weapons throughout the tri-state area and loves to flaunt it. Traveling salesman Cliff, covers the same territory Ricky runs guns through. Desperate to find some financial relief for his struggling family, Cliff agrees to partner with Ricky, to commit cross-state drug and gun deliveries for a mid-level American cartel boss John. When a simple exchange turns into a bloodbath after Ricky kills everyone in a territory grab, the pair find themselves in a pressure cooker situation where unlikely drug dealer Cliff must fight as hard as he can to stay alive.",Rod Blackhurst,David Ebeltoft,"Action, Crime, Thriller",
IF,2024-05-16 (DE),73%,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,John Krasinski,John Krasinski,"Comedy, Fantasy, Family","$186,240,904.00"
Project Silence,2024-09-04 (DE),70%,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",Kim Tae-gon,"Kim Tae-gon, Park Joo-suk, Kim Yong-hwa","Action, Thriller, Horror, Science Fiction",
Interstellar,2014-11-06 (DE),84%,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Christopher Nolan,"Christopher Nolan, Jonathan Nolan","Adventure, Drama, Science Fiction","$701,729,206.00"
Female Ninjas Magic Chronicles 4: Rebel Forces at the Threshold,1994-03-24 (JP),33%,"The female ninjas have to stop an alliance from carrying out their dastardly deeds, which includes bizarre ninjitsu sex magic to aid them in their quest.",Masaru Tsushima,,Action,
Harry Potter and the Deathly Hallows: Part 2,2011-07-14 (DE),81%,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",David Yates,,"Fantasy, Adventure","$1,341,511,219.00"
The Hobbit: The Battle of the Five Armies,2014-12-10 (DE),73%,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Peter Jackson,,"Action, Adventure, Fantasy","$956,019,788.00"
xXx,2002-10-17 (DE),59%,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",Rob Cohen,,"Action, Adventure, Thriller, Crime","$277,448,382.00"
Gracie & Pedro: Pets to the Rescue,2024-10-08 (US),69%,"Family frenemies, Gracie and Pedro, must put their differences aside, embarking on a thrilling quest packed with perilous escapades in order to reunite with their owners.",Kevin Donovan,,"Animation, Adventure, Comedy, Family","$664,443.00"
No Voltees,2024-09-20 (US),80%,"When two siblings return to their childhood home, they are confronted by a violent, supernatural presence that dwells deep within their worst traumas.",Alejandro Hidalgo,Ricardo Avilés,Horror,
Harry Potter and the Goblet of Fire,2005-11-16 (DE),78%,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",Mike Newell,,"Adventure, Fantasy","$895,921,036.00"
El Apocalipsis de san Juan,2024-10-17 (AR),0%,"Embark on an epic journey through time and faith with 'The Apocalypse of Saint John.' Join the Apostle John in a stunning visual narrative that unravels the visions of the End Times. Experience each vision like never before, with striking visual effects and epic scenes that immerse you in the apocalyptic narrative.","Simón Delacre, Patricio Dondo",Simón Delacre,"Documentary, History",
Alien: Romulus,2024-08-15 (DE),73%,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",Fede Álvarez,"Fede Álvarez, Rodo Sayagues","Science Fiction, Horror","$350,752,564.00"
Mr. Crocket,2024-09-26 (US),49%,"A single mother thinks she's found the key to calming her child down – a VHS copy of a strange children's program named Mr. Crocket's World. However, a darker, bloodier secret waits to invade their home from inside the tape.",Brandon Espy,"Brandon Espy, Carl Reid",Horror,
SpongeBob Squarepants: Kreepaway Kamp,2024-10-10 (US),73%,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!","Fred Osmond, Sherm Cohen, Dave Cunningham, Kurt Snyder, Ian Vasquez","Kaz, Danny Giovannini, Mike Bell, Andrew Goodman, Bobby Gaylor","TV Movie, Family, Comedy, Horror, Animation",
Under Paris,2024-06-05 (DE),60%,"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",Xavier Gens,,"Action, Drama, Horror, Thriller",
Deadpool & Wolverine,2024-07-24 (DE),77%,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Shawn Levy,"Shawn Levy, Paul Wernick, Rhett Reese, Ryan Reynolds, Zeb Wells","Action, Comedy, Science Fiction","$1,336,816,112.00"
Spider-Man: Across the Spider-Verse,2023-06-01 (DE),84%,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","Kemp Powers, Joaquim Dos Santos, Justin K. Thompson","Phil Lord, Dave Callaham, Christopher Miller","Animation, Action, Adventure, Science Fiction","$690,897,910.00"
Sonic the Hedgehog 2,2022-03-31 (DE),75%,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",Jeff Fowler,,"Action, Adventure, Family, Comedy","$405,421,518.00"
Avengers: Infinity War,2018-04-26 (DE),82%,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","Anthony Russo, Joe Russo",,"Adventure, Action, Science Fiction","$2,052,415,039.00"
Apartment 7A,2024-09-28 (DE),61%,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",Natalie Erika James,,"Horror, Thriller",
The Flesh,1992-09-17 (DE),54%,"A beautiful film which is basically about a man, a piano player, who meets and falls in love with a beautiful and voluptuous woman, who, by some strange procedure, leaves the man unable to move but with a permanent priapism! After some time he becomes sick of it and she relieves his paralysis. Eventually she gets bored and decides to leave, but he can't take it because he loves her…",Marco Ferreri,"Marco Ferreri, Massimo Bucchi, Liliana Betti, Paolo Costella","Drama, Romance",
Me Before You,2016-06-23 (DE),79%,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",Thea Sharrock,,"Drama, Romance","$207,945,075.00"
My Fault,2023-06-08 (DE),79%,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",Domingo González,Domingo González,"Romance, Drama",
The Batman,2022-03-03 (DE),77%,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",Matt Reeves,"Matt Reeves, Peter Craig","Crime, Mystery, Thriller","$771,000,000.00"
The Super Mario Bros. Movie,2023-04-06 (DE),77%,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","Michael Jelenic, Aaron Horvath",Matthew Fogel,"Animation, Family, Adventure, Fantasy, Comedy","$1,362,000,000.00"
Sexual Chronicles of a French Family,2012-10-05 (DE),54%,Three generations of a French family open up about their sexual experiences and desires after young Romain is caught masturbating in his biology class.,"Pascal Arnold, Jean-Marc Barr","Pascal Arnold, Lucy Allwood","Comedy, Drama, Romance",
The Inseparables,2024-08-29 (DE),64%,"The animated buddy movie follows the misadventures of Don, a runaway puppet with boundless imaginations, and DJ Doggy Dog, an abandoned plush looking for a friend, who cross paths in Central Park and team up against all odds for a epic friendship adventure in New York.",Jérémie Degruson,,"Animation, Adventure, Comedy, Family","$311,198.00"
Dune: Part Two,2024-02-29 (DE),82%,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Denis Villeneuve,,"Science Fiction, Adventure","$711,844,359.00"
Puss in Boots: The Last Wish,2022-12-22 (DE),82%,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",Joel Crawford,,"Animation, Adventure, Fantasy, Comedy, Family","$484,700,000.00"
Hounds of War,2024-10-04 (DE),65%,"After a mission goes wrong, only one of a group of mercenaries is left alive to avenge his fallen brothers.",Isaac Florentine,Jean Pierre Magro,"Action, Thriller",
Beetlejuice Beetlejuice,2024-09-12 (DE),72%,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",Tim Burton,,"Comedy, Fantasy, Horror","$435,300,598.00"
Padre no hay más que uno 4: Campanas de boda,2024-07-17 (ES),67%,"The eldest of the family, Sara, comes of age and brings chaos to the family by announcing her intention to marry Ocho. Javier and Marisa try to avoid it at all costs. At the same time Dani has an existential crisis, Paulita feels jealous of Cris, Carlota announces that she has found a boyfriend from a high society family and Rocio has finally managed to be cast in her first film.",Santiago Segura,,"Family, Comedy","$20,271.00"
Furiosa: A Mad Max Saga,2024-05-23 (DE),75%,"As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",George Miller,"George Miller, Nico Lathouris","Action, Adventure, Science Fiction","$172,775,791.00"
Wish,2023-11-30 (DE),64%,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.","Fawn Veerasunthorn, Chris Buck",,"Animation, Family, Fantasy, Adventure","$254,997,360.00"
The Ministry of Ungentlemanly Warfare,2024-07-25 (DE),71%,"During World War II, the British Army assigns a group of competent soldiers to carry out a mission against the Nazi forces behind enemy lines... A true story about a secret British WWII organization – the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations.",Guy Ritchie,,"Action, Comedy, War","$27,450,915.00"
Busty Girlfriend,2019-03-08 (KR),71%,"Mincheol and Suhee go to greet Minchul father (grandmother) before marriage. Dae - sik welcomes her daughter - in - law, Su - hee. But before marriage, Minchol and Suhee are separated by the difference in personality. Soon-hee, who was only preparing for marriage, is soon to live.",Junsei,,Romance,
Private Collections,1979-06-27 (FR),52%,"Three stories. A solitary sailor falls from his boat and washes ashore on a tropical island. While seeking rescue, he's found by a nearly naked woman who is playful and compliant. He decides to erase his signs of distress and remain on the island. What awaits?  In the second, an adolescent searches for the words of a nursery rime he remembers bits of. His journey takes him into dreams, sexual awakening, and Oedipal fantasy.  Third, a man of wealth in late-nineteenth century Paris hires a prostitute for the night. She's also cabaret performer and takes him to her room. He fears he's about to be robbed. What's her secret?","Walerian Borowczyk, Shūji Terayama, Just Jaeckin","Walerian Borowczyk, Jean-Michel Ribes, Guy de Maupassant","Drama, Romance",
Smile,2022-09-29 (DE),67%,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",Parker Finn,Parker Finn,"Horror, Mystery","$217,408,513.00"
Diabolik - Who Are You?,2023-11-30 (IT),63%,"Captured by a ruthless gang of bank robbers, foes Diabolik and Ginko find themselves facing certain death. While Eva Kant and Altea forge an unlikely alliance to rescue their lovers, Diabolik reveals his mysterious past to the Inspector.","Marco Manetti, Antonio Manetti",,"Crime, Action",
Taken 3,2014-12-16 (DE),63%,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",Olivier Megaton,,"Thriller, Action","$325,800,000.00"
Kingdom of the Planet of the Apes,2024-05-08 (DE),71%,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",Wes Ball,Josh Friedman,"Science Fiction, Adventure, Action","$397,366,385.00"
V/H/S/Beyond,2024-09-20 (US),70%,"The infinite playground of forbidden worlds and dangerous lifeforms offered by the sci-fi horror genre will lead to the biggest, maddest, bloodiest V/H/S ever.","Justin Martinez, Virat Pal, Justin Long, Christian Long, Jordan Downey, Jay Cheel, Kate Siegel","Virat Pal, Justin Long, Christian Long, Evan Dickson, Mike Flanagan","Horror, Science Fiction, Thriller",
Fifty Shades of Grey,2015-02-12 (DE),59%,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",Sam Taylor-Johnson,,"Drama, Romance, Thriller","$569,651,467.00"
Tangled,2010-12-08 (DE),76%,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.","Byron Howard, Nathan Greno",,"Animation, Family","$592,461,732.00"
Woman of the Hour,2024-10-11 (US),67%,"An aspiring actress crosses paths with a prolific serial killer in '70s LA when they're cast on an episode of ""The Dating Game.""",Anna Kendrick,Ian McDonald,"Crime, Drama, Thriller",
The Clean Up Crew,2024-08-20 (US),51%,"When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.",Jon Keeyes,Matthew Rogers,"Action, Crime, Thriller",
Blink Twice,2024-08-22 (DE),68%,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.",Zoë Kravitz,"Zoë Kravitz, E.T. Feigenbaum","Mystery, Thriller, Horror","$43,555,474.00"
Spider-Man: No Way Home,2021-12-16 (DE),80%,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",Jon Watts,"Chris McKenna, Erik Sommers","Action, Adventure, Science Fiction","$1,921,847,111.00"
Little Bites,2024-10-04 (US),64%,"Mindy, a young widow and mother who tries to protect her daughter Alice from a flesh eating monster named Agyar. Mindy has been secretly sacrificing her own life by allowing the creature to feast on her body as she keeps Alice hidden away at her grandmother’s house.",Spider One,Spider One,Horror,
Pulp Fiction,1994-11-03 (DE),85%,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",Quentin Tarantino,,"Thriller, Crime","$213,928,762.00"
Good Mother 3,2019-08-26 (KR),60%,"Sun-young and Jun-young are living together. However, they have been unable to pay the rent for several months and listen to the pinzan from the landlord. Eventually, after worrying, he goes to Jun-young's father's house and asks for help. But there, the father's new lover, Ji-young, greets them. Sun-young and Jun-young are unable to borrow money and live in the house for the time being. But after that day. Jun-young's father Dae-woong's eyes keep seeing Sun-young's short mini skirt. Ji-young is interested in Jun-young, who is young and manly…",Kim Bit-na,,Romance,
Migration,2023-12-21 (DE),74%,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",Benjamin Renner,,"Animation, Action, Adventure, Comedy, Family","$298,776,052.00"
The Convert,2024-06-20 (AU),62%,"Munro, a soldier turned lay preacher, comes to New Zealand to minister to the first British colonists, but he is converted by the powerful chief Maianui to serve a different purpose.",Lee Tamahori,,"Action, Drama","$692,018.00"
Inside Out 2,2024-06-12 (DE),76%,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",Kelsey Mann,,"Animation, Family, Adventure, Comedy, Drama","$1,682,636,477.00"
Joker: Folie à Deux,2024-10-03 (DE),58%,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",Todd Phillips,"Todd Phillips, Scott Silver","Drama, Crime, Thriller","$192,714,058.00"
Exorcism in Utero,2023-05-23 (US),65%,"Herma finds a powerful ring that possesses her when she tries it on; as her body transforms and mind begins to deteriorate, she must find a way out to save herself and her unborn baby.",Erik Skybak,Erik Skybak,Horror,
Subservience,2024-09-13 (US),67%,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",SK Dale,,"Science Fiction, Thriller, Horror","$159,422.00"
Transmorphers: Mech Beasts,2023-06-30 (US),52%,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",Michael Su,Joe Roche,"Action, Science Fiction","$65,452.00"
Mission: Impossible - Dead Reckoning Part One,2023-07-13 (DE),75%,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",Christopher McQuarrie,"Christopher McQuarrie, Erik Jendresen","Action, Adventure","$567,535,383.00"
The Shadow Strays,2024-10-17 (DE),74%,"Skilled in the art of killing, a young assassin defies her mentor to save a boy from a ruthless crime syndicate — and she'll destroy anyone in her path.",Timo Tjahjanto,Timo Tjahjanto,"Action, Crime, Thriller",
Harry Potter and the Philosopher's Stone,2001-11-22 (DE),79%,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",Chris Columbus,,"Adventure, Fantasy","$976,475,550.00"
BLUE LOCK THE MOVIE -EPISODE NAGI-,2024-07-23 (DE),70%,"""That's a hassle."" That was second-year high schooler Nagi Seishirou's favorite phrase as he lived his dull life. Until Mikage Reo, a classmate who dreamed of winning the World Cup, discovered Nagi's hidden skill, inspiring him to play soccer and share his outstanding talent. One day, Nagi Seishiro receives an invitation to the mysterious Blue Lock Project. What awaits him there is an encounter with the finest strikers assembled from across the country. Nagi's dream of becoming the best, alongside Mikage Reo, will take this prodigy to a world he's never known.",Shunsuke Ishikawa,,"Animation, Action, Drama","$11,201,738.00"
Inside Out,2015-10-01 (DE),79%,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",Pete Docter,,"Animation, Family, Adventure, Drama, Comedy","$857,611,174.00"
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",2024-02-24 (DE),72%,"Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",Thomas Astruc,"Thomas Astruc, Frédéric Lenoir, Sébastien Thibaudeau, Melanie Duval","Animation, Adventure, Action, Fantasy, Family",
Avengers: Endgame,2019-04-24 (DE),83%,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","Joe Russo, Anthony Russo",,"Adventure, Science Fiction, Action","$2,799,439,100.00"
Purpose of Tutoring,2023-12-07 (KR),55%,"Yeong-tak and Ha-na are stepsiblings who live with the support of their divorced adoptive parents. The two begin taking individual private lessons for their respective careers. Yeong-tak secretly gives his acting teacher Na-ri sleeping pills to covet her body, while Ha-na is busy seducing her physical education teacher Han-cheol. Meanwhile, Na-ri and Han-cheol run into each other at the stepsiblings' house, fall in love at first sight, and seek revenge on the two who offended them.",Han Dong-yeon,,"Romance, Drama",
Survive,2024-06-19 (FR),46%,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,Frédéric Jardin,,"Thriller, Adventure, Action, Science Fiction",
Smugglers,2024-02-16 (DE),66%,"During the 1970s, in Kunchon, there were women divers who were able to dive without equipment, including two best friends Choon-ja and Jin-sook, Jin-sook's brother and Hammer. They always collected seafood under water for living. But, as fewer factories started to be built near the beach, the women divers started to have trouble with what they were doing for living. Without any choice, the ship crews decided to join the smuggling business in the water to seek a way for their living. But the smuggling business in their village got too big for Jin-sook's family to handle and the peaceful village was gradually broken.",Ryoo Seung-wan,"Ryoo Seung-wan, Kim Jung-youn, Choi Cha-won","Crime, Action",
Deadpool 2,2018-05-17 (DE),75%,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,David Leitch,"Ryan Reynolds, Rhett Reese, Paul Wernick","Action, Comedy, Adventure","$785,896,632.00"
Seven Cemeteries,2024-10-11 (US),49%,A recent parolee gets a Mexican witch to resurrect his old posse so that they can help him save a woman's ranch from a ruthless drug lord.,John Gulager,"John Gulager, Joel Soisson","Horror, Action, Fantasy, Thriller",
The Jack in the Box: Rises,2024-04-15 (GB),68%,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.",Lawrence Fowler,"Lawrence Fowler, Geoff Fowler",Horror,"$771,460.00"
Smile 2,2024-10-17 (DE),70%,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",Parker Finn,Parker Finn,"Horror, Mystery","$55,478,285.00"
The Nightmare Before Christmas,1994-12-06 (DE),78%,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",Henry Selick,,"Fantasy, Animation, Family","$75,634,409.00"
All Hallows' Eve,2014-09-26 (DE),57%,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown.",Damien Leone,Damien Leone,Horror,
Twilight of the Warriors: Walled In,2024-11-28 (DE),65%,"In 1980s Hong Kong, troubled youth Chan Lok-kwun, a mainland refugee, struggles to survive in the Kowloon Walled City by joining underground fights. Betrayed by crime boss Mr. Big while trying to buy a fake ID, he steals drugs from him and seeks refuge in the Walled City, where he encounters Cyclone, a compassionate yet authoritative crime lord.",Soi Cheang,,"Action, Adventure, Crime, Thriller","$95,335,412.00"
Uprising,2024-10-11 (DE),73%,"In the Joseon Dynasty, two friends who grew up together — one the master and one the servant — reunite post-war as enemies on opposing sides.",Kim Sang-man,"Park Chan-wook, Shin Chul","Action, Drama, History",
Pirates of the Caribbean: Dead Man's Chest,2006-07-27 (DE),74%,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,Gore Verbinski,,"Adventure, Fantasy, Action","$1,065,700,000.00"
