Title,Year,User Score,Description,Directors,Screenplay,Genres,Revenue
Gladiator II,2024-11-14 (DE),0%,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",Ridley Scott,,"Action, Adventure",
Fast X,2023-05-18 (DE),71%,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",Louis Leterrier,,"Action, Crime, Thriller","$704,709,660.00"
"Miraculous World, London: At the Edge of Time",2024-10-05 (FR),70%,"Marinette, now Chronobug, and Bunnyx must save the future by resolving the mystery of who dicovered Marinette's identity as Ladybug, when, and how they stole her Miraculous. Throughout the adventure, they learn that the Butterfly Miraculous has a new holder, the one who unraveled the ultimate secret. Ladybug's only hope is to defeat her opponent to prevent the end of Ladybug.",Thomas Astruc,Thomas Astruc,"Animation, Adventure, Action, Fantasy",
Speak No Evil,2024-09-19 (DE),73%,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",James Watkins,James Watkins,"Horror, Thriller","$75,711,395.00"
Officer Black Belt,2024-09-13 (DE),77%,A talented martial artist who can't walk past a person in need unites with a probation officer to fight and prevent crime as a martial arts officer.,Jason Kim,Jason Kim,"Action, Comedy, Crime",
Cinderella's Curse,2024-08-22 (GB),56%,"Desperate Cinderella summons her fairy godmother from an ancient flesh-bound book, seeking revenge on her evil stepmother and stepsisters who abuse and torment her daily.",Louisa Warren,Harrison Thomas Boxley,"Horror, Fantasy","$47,300.00"
To Be Twenty,1978-07-14 (IT),59%,"Lia and Tina are two beautiful girls who meet and realize that they have a lot in common. They are both young, beautiful and pissed off, so they decide to hitchhike their way to Rome to find Nazariota's commune, a place to stay for free and have all the sex they want... or so they think. Things don't go as they have planned though, and soon they become involved in prostitution, the police and an aggressive gang.",Fernando Di Leo,,Comedy,
Pleasure,2022-01-13 (DE),62%,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",Ninja Thyberg,,Drama,"$393,824.00"
Venom,2018-10-03 (DE),68%,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",Ruben Fleischer,,"Science Fiction, Action","$856,085,151.00"
Harry Potter and the Prisoner of Azkaban,2004-06-03 (DE),80%,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",Alfonso Cuarón,,"Adventure, Fantasy","$789,804,554.00"
The Substance,2024-09-19 (DE),73%,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Coralie Fargeat,Coralie Fargeat,"Horror, Drama, Science Fiction","$29,106,531.00"
La Hierba del Diablo,2024-03-14 (CO),30%,We don't have an overview translated in English. Help us expand our database by adding one.,Ángel Ayllón,Fernando Ayllón,Horror,
Operation Black Ops,2023-07-11 (US),58%,"A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III.",Jamaal Burden,Jamaal Burden,"Action, Thriller",
Kill,2024-09-06 (DE),71%,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on himself in a death-defying kill-spree to save those around him — turning what should have been a typical commute into an adrenaline-fueled thrill ride.",Nikhil Nagesh Bhat,,"Action, Crime, Thriller, Drama","$5,400,000.00"
Justice,2024-10-16 (DE),68%,"A young detective seeks the help of a discharged police officer, giving him the chance to reclaim his old life in exchange for solving a bank raid case.",Michał Gazda,Bartosz Staszczyszyn,"Crime, Drama",
Expend4bles,2023-09-21 (DE),62%,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",Scott Waugh,,"Action, Adventure, Thriller","$37,917,985.00"
MaXXXine,2024-07-04 (DE),64%,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",Ti West,Ti West,"Horror, Crime, Mystery","$20,267,069.00"
Bad Boys: Ride or Die,2024-06-05 (DE),75%,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.","Bilall Fallah, Adil El Arbi","Will Beall, Chris Bremner","Action, Comedy","$402,529,640.00"
Hellboy: The Crooked Man,2024-10-08 (US),54%,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.",Brian Taylor,,"Fantasy, Horror, Action","$1,289,658.00"
Brothers,2024-10-17 (DE),65%,"A reformed criminal's attempt at going straight is derailed when he reunites with his sanity-testing twin brother on a road trip for the score of a lifetime. Dodging bullets, the law, and an overbearing mother along the way, they must heal their severed family bond before they end up killing each other.",Max Barbakow,,"Action, Comedy, Crime",
Azrael,2024-09-04 (DE),61%,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",E.L. Katz,Simon Barrett,"Action, Horror, Thriller",
Outside,2024-10-17 (DE),54%,"A family retreats to an isolated farm during a zombie outbreak, but years of painful secrets take a toll as they navigate their desolate world.",Carlo Ledesma,Carlo Ledesma,"Horror, Thriller",
Skinford 2: The Curse,2024-05-20 (FR),20%,We don't have an overview translated in English. Help us expand our database by adding one.,Nik Kacevski,,"Thriller, Action",
Descendants: The Rise of Red,2024-07-12 (DE),70%,"After the Queen of Hearts incites a coup on Auradon, her rebellious daughter Red and Cinderella's perfectionist daughter Chloe join forces and travel back in time to try to undo the traumatic event that set Red's mother down her villainous path.",Jennifer Phang,"Dan Frey, Russell Sommer","Fantasy, Adventure, Family, Comedy",
The Demon Disorder,2024-08-16 (AU),56%,"The pasts of three brothers and their deceased father collide when a deep, dark family secret is unearthed, leading to a case of revenge from beyond the grave.",Steven Boyle,"Steven Boyle, Toby Osborne",Horror,
Flow,2024-12-19 (DE),89%,"The world seems to be coming to an end, teeming with the vestiges of a human presence. Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences. In the lonesome boat sailing through mystical overflowed landscapes, they navigate the challenges and dangers of adapting to this new world.",Gints Zilbalodis,"Gints Zilbalodis, Matīss Kaža","Animation, Fantasy, Adventure",
Saving Bikini Bottom: The Sandy Cheeks Movie,2024-08-02 (DE),64%,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",Liza Johnson,,"Animation, Comedy, Adventure, Family",
"Monsters, Inc.",2002-01-31 (DE),78%,"Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",Pete Docter,,"Animation, Comedy, Family","$579,700,000.00"
Trouble,2024-10-03 (DE),69%,"Wrongfully convicted of murder, a clumsy electronics salesman faces police corruption and criminal conspiracies in an attempt to prove his innocence.",Jon Holmberg,"Jon Holmberg, Tapio Leopold","Action, Comedy, Crime",
Depravity,2024-10-11 (US),52%,A group of roommates in a US metropolis inadvertently kill an innocent man and proceed on a perilous journey of deception and cover-up.,Paul Tamasy,Paul Tamasy,"Mystery, Thriller, Crime",
The Silent Hour,2024-10-11 (US),64%,"While working a case as an interpreter, a hearing-impaired police detective must confront a group of criminals trying to eliminate a deaf murder witness in her apartment building.",Brad Anderson,Dan Hall,"Crime, Thriller, Action",
Terrifier,2011-08-09 (US),63%,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",Damien Leone,Damien Leone,Horror,
LEGO Marvel Avengers: Mission Demolition,2024-10-18 (DE),74%,"A young, aspiring hero and superhero fan inadvertently unleashes a powerful new villain looking to rid the world of the Avengers.",Ken Cunningham,Eugene Son,"Animation, Comedy, Science Fiction",
The Gigolo,2022-06-03 (DE),50%,"Fung looks like a super-heartthrob and was bon with a special endowment, making him the high school idol. He was expelled from school when he was caught fighting on campus. When his mom, the sole provider of his family with her poultry business, had to stop working due to her back problems, Fung decides to support his family financially. And from that moment, his life takes on a tumultuous change…",Amen Au Cheuk-Man,,"Romance, Drama, Comedy","$709,136.00"
The Lord of the Rings: The Return of the King,2003-12-17 (DE),85%,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",Peter Jackson,,"Adventure, Fantasy, Action","$1,118,888,979.00"
Abigail,2024-04-18 (DE),68%,"A group of criminals kidnap a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with no normal little girl.","Tyler Gillett, Matt Bettinelli-Olpin",,"Horror, Thriller","$42,241,257.00"
Corpse Bride,2005-11-03 (DE),76%,"Set in a 19th-century European village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.","Tim Burton, Mike Johnson",,"Romance, Fantasy, Animation","$118,133,252.00"
Venom: The Last Dance,2024-10-24 (DE),63%,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",Kelly Marcel,,"Action, Science Fiction, Adventure","$8,500,000.00"
Terrifier,2016-12-06 (DE),64%,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,Damien Leone,Damien Leone,"Horror, Thriller","$416,322.00"
Harry Potter and the Order of the Phoenix,2007-07-12 (DE),77%,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",David Yates,,"Adventure, Fantasy","$938,212,738.00"
Joker,2019-10-10 (DE),82%,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",Todd Phillips,"Todd Phillips, Scott Silver","Crime, Thriller, Drama","$1,078,958,629.00"
Hotel Transylvania: Transformania,2022-01-14 (DE),71%,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.","Derek Drymon, Jennifer Kluska",,"Animation, Comedy, Family, Adventure, Fantasy","$18,500,000.00"
Dragonkeeper,2024-10-24 (DE),73%,"Set in Han Imperial China, the plot follows the adventures of enslaved girl Ping with ancient dragon Long Danzi. Dragons had been banished from the kingdom. Ping, an orphan, finds one of the last remaining dragon eggs. Palace guards force Ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction. Ping discovers that she is a true Dragonkeeper.","Jian-Ping Li, Salvador Simó",,"Action, Adventure, Animation, Family, Fantasy","$5,427,272.00"
MadS,2024-09-21 (US),67%,"A french club kid wakes up from a night of partying looking to score, whether that's with the latest drug or romantic conquest. On his way back home, he encounters an escaped patient who alters the course of his life.",David Moreau,David Moreau,"Horror, Thriller",
Harry Potter and the Chamber of Secrets,2002-11-14 (DE),77%,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",Chris Columbus,,"Adventure, Fantasy","$876,688,482.00"
The Park Maniac,2024-10-12 (BR),61%,"An infamous serial killer who assaulted and killed several women in the '90s, gets on a collision course with a young journalist eager for the truth and a career-changing article.",Maurício Eça,L.G. Bayão,"Drama, Crime, Thriller, Horror",
The Most Wonderful Time of the Year,2024-10-11 (US),54%,"Sideshow Bob teams up with the most infamous villains of Disney+ to share the true meaning of the Halloween season. Filled with music, mayhem, and madness, this short from ""The Simpsons"" is simply to die for.",David Silverman,"Dan Greaney, J. Stewart Burns, Broti Gupta, Al Jean","Animation, Comedy",
The Killer's Game,2024-09-13 (US),65%,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",J.J. Perry,Rand Ravich,"Action, Comedy, Crime","$5,090,881.00"
Harold and the Purple Crayon,2024-08-22 (DE),70%,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life.",Carlos Saldanha,,"Adventure, Family, Fantasy, Comedy","$24,982,787.00"
Salem's Lot,2024-10-31 (DE),62%,Author Ben Mears returns to his childhood home of Jerusalem's Lot only to discover his hometown is being preyed upon by a bloodthirsty vampire.,Gary Dauberman,,"Horror, Mystery",
Harry Potter and the Deathly Hallows: Part 1,2010-11-18 (DE),78%,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",David Yates,,"Adventure, Fantasy","$954,305,868.00"
I Don't Like Younger Men 5,2020-04-23 (KR),71%,"Ha-neul haven't seen her friend, Ye-sol for a long time, and so they spent a good time together. That time, Ye-sol's father, Min-soo enters the house.  Ha-neul sees the young-looking Min-soo and makes a fuss. Ye-sol who is a little bit tipsy tells Ha-neul that he is her stepfather.  That night, Ha-neul secretly entered sexy Min-soo's room...",Kye Jang-hyuk,,Romance,
